coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
RSR,221,0.001786,-2.88,0.0012,-0.0033,0.001692,NEUTRAL,hyperliquid
FARTCOIN,221,0.20089,-3.94,0.0011,-0.0042,0.197139,NEUTRAL,hyperliquid
ORBS,219,0.008741,-3.86,0.0013,-0.0051,0.009312,NEUTRAL,yahoo:ORBS-USD
TURBO,221,0.001162,-3.84,0.0019,-0.0074,0.001113,NEUTRAL,hyperliquid
AVAX,221,9.2318,-3.86,0.0063,-0.0243,9.58165,NEUTRAL,hyperliquid
XMR,221,378.68,-5.5,0.0056,-0.0307,364.952,NEUTRAL,hyperliquid
ARB,221,0.12577,-8.5,0.0044,-0.0374,0.115875,NEUTRAL,hyperliquid
NEO,221,2.8582,-5.53,0.0084,-0.0463,2.853966,NEUTRAL,hyperliquid
TIA,221,0.3648,-7.74,0.0077,-0.0598,0.346666,NEUTRAL,hyperliquid
IO,221,0.11826,-8.03,0.0111,-0.0888,0.115212,NEUTRAL,hyperliquid
ICP,221,2.4286,-7.46,0.0124,-0.0927,2.549529,NEUTRAL,hyperliquid
xyz:AAPL,159,267.15,-4.76,0.0237,-0.1128,260.2391,NEUTRAL,hyperliquid
BNT,219,0.325339,-8.9,0.0153,-0.1359,0.3106,NEUTRAL,yahoo:BNT-USD
HYPER,221,0.12258,-11.8,0.0132,-0.1558,0.098813,NEUTRAL,hyperliquid
LTC,221,55.278,-7.4,0.0344,-0.2543,56.48755,NEUTRAL,hyperliquid
xyz:MSFT,161,422.79,-8.99,0.0362,-0.325,403.8339,NEUTRAL,hyperliquid
PNUT,221,0.05648,-17.54,0.0191,-0.3353,0.050245,NEUTRAL,hyperliquid
xyz:HOOD,154,83.72,-16.22,0.0278,-0.4503,80.60288,NEUTRAL,hyperliquid
kNEIRO,221,0.08886,-25.4,0.0233,-0.592,0.076523,NEUTRAL,hyperliquid
ONDO,221,0.26244,-11.14,0.0541,-0.6034,0.270082,NEUTRAL,hyperliquid
NXPC,221,0.29649,-15.93,0.0382,-0.6091,0.29754,NEUTRAL,hyperliquid
INJ,221,3.6257,-17.79,0.0493,-0.8771,3.293241,NEUTRAL,hyperliquid
2Z,209,0.086436,-22.73,0.0389,-0.8839,0.086035,NEUTRAL,hyperliquid
TST,221,0.010779,-26.48,0.0419,-1.1087,0.010502,NEUTRAL,hyperliquid
BADGER,219,0.458934,-21.61,0.0561,-1.212,0.403784,NEUTRAL,yahoo:BADGER-USD
TON,221,1.3107,-15.58,0.0912,-1.4215,1.346955,NEUTRAL,hyperliquid
WCT,221,0.062142,-17.15,0.0851,-1.4598,0.061613,NEUTRAL,hyperliquid
SUSHI,221,0.21107,-20.34,0.0803,-1.6338,0.216387,NEUTRAL,hyperliquid
xyz:META,160,676.21,-19.96,0.0867,-1.7315,639.06,NEUTRAL,hyperliquid
kFLOKI,221,0.032158,-22.25,0.0829,-1.8455,0.03137,NEUTRAL,hyperliquid
